Leilões Judiciais,Chácara,"R$ 32.447,64",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2512237,"Chácara c/ 2.000m², Estrada Municipal da Caixa D’Água, B. Jurupara, Cad. Incra 637.041.012.238-7. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)  (Proc. 1001327-65.2018.8.26.0443) (R$ 54.079,41)(Obs.: O acesso é por estrada de terra.)(Obs.: O imóvel não possui matrícula imobiliária, sendo responsabilidade do arrematante providenciar a regularização do registro do imóvel com abertura da matrícula.) PIEDADE/SP"
Leilões Judiciais,Terreno,"R$ 43.609,63",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2511897,"Terreno c/ 342,42m², lote 36, quadra A, R. Projetada 01, Lot. Recanto dos Tucunarés, CRI 35.822. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)  (Proc.  0004451-92.2001.8.26.0306 ) (R$ 72.682,73)(Obs.: Imóveis devidamente regularizados e prontos para receber edificações. O loteamento é dividido ao meio pela rua Projetada 1, que na verdade é uma Avenida, pois contém duas pistas. Os lotes que ficam do lado de cima da avenida são denominados lotes secos, e os do lado de baixo, que fazem limite com o lago da represa de Promissão, são denominados lotes molhados. O lote em referência fica do lado de baixo da Avenida, portanto, fazem limite com a Área de Preservação Permanente, área verde limítrofe ao Lago. )  MENDONCA/SP"
Leilões Judiciais,Terreno,"R$ 24.580,17",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512654,"Terreno c/ 360m², lote 03, quadra 135, R. São Salvador, Jardim Marajá, CRI 11.068. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1001043-56.2018.8.26.0411) (R$ 30.725,23)(Obs.: Sobre a parte da cônjuge não incide desconto)Descrição completa: Conforme artigo 893 do CPC, lotes unificados terão preferência sobre os lotes desmembrados, assim, havendo lance no lote unificado, encerra-se a disputa nos lotes desmembrados. PACAEMBU/SP"
Leilões Judiciais,Casa,"R$ 107.416,55",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2512792,"Casa, Av. César Augusto Gonçalves, 568, Cerâmica, Cad. Municipal 01010040166001. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0000881-72.2015.8.26.0059) (R$ 179.027,59)(Obs.:  O imóvel não possui matrícula imobiliária, sendo responsabilidade do arrematante providenciar a regularização do registro do imóvel com abertura da matrícula.)  BANANAL/SP"
Leilões Judiciais,Terreno,"R$ 163.616,36",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511821,"Direitos creditórios da credora fiduciária correspondentes ao percentual de 41% sobre os seguintes imóveis: A) Terreno c/ 375,25m², lote 09, quadra 10, Lot. Residencial Fogaça, Rua 18, Cad. Mun. 44133-23-37-0073-0000, CRI 67.539; B) Terreno c/ 277,50m², lote 10, quadra 10, Lot. Residencial Fogaça, Rua 18, Cad. Mun. 44133-23-37-0063-00-000, CRI 67.540 (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0004311-36.2020.8.26.0292) (R$ 163.616,36) JACAREI/SP"
Leilões Judiciais,Condomínio,"R$ 37.312,94",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2512681,"Direitos oriundos do contrato de compra e venda sobre terreno c/ 450m², lote 14, quadra CI, R. Quarenta e Três, Lot. Ninho Verde, Gleba I, CRI 96.390 de Tatuí/SP. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1000374-14.2016.8.26.0624) (R$ 37.312,94)(Obs.: Imóvel sem benfeitorias, dentro de condomínio fechado, em rua sem pavimentação e sarjetas, sem iluminação pública) PORANGABA/SP"
Leilões Judiciais,Apartamento,"R$ 160.000,00",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511822,"Direitos aquisitivos sobre apartamento 206 c/ 89,45m² (área privativa 44,69 e comum 44,76m²) e vaga de garagem 225 c/ 11,50m², 1º pavimento, bloco 05, Condomínio Residencial Jeribá, Estrada do Limoeiro, 595, Bairro do Pedregulho, Cad. Mun. 44112.54.73.1013.05.014, CRI 80.128. (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 1008579-87.2018.8.26.0292) (R$ 160.000,00) JACAREI/SP"
Leilões Judiciais,Apartamento,"R$ 91.381,40",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511881,"Apartamento 201 c/ 97,13m² (área privativa coberta de 45,69m², área comum coberta 6,33m², total de área coberta de 52,02m², vaga de garagem descoberta c/ 10,35m², e área comum descoberta c/ 34,76m²),  1º andar, bloco 14, Cond. Ed. Pq. Princesa do Vale, Av. Padre José Maria Guimarães Alves, c/ vaga de garagem nº 138, Cad. Municipal SE – 21-02-04-035-425, CRI 62.135. (Alienado) (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA)  (Proc. 1002110-80.2020.8.26.0445) (R$ 152.302,34) PINDAMONHANGABA/SP"
Leilões Judiciais,Casa,"R$ 33.237,61",http://www.rigolonleiloes.com.br/externo/lote/detalhes/2512583,"Parte ideal de 50% sobre terreno c/ 180m², c/ casa, lote 05, quadra 159, Av. Mirandópolis, 478, Vila Peres, Cad. Mun. 1000805-02, CRI 3.483.(PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0004609-16.2007.8.26.0411) (R$ 55.396,03) PACAEMBU/SP"
Leilões Judiciais,Casa,"R$ 89.107,81",http://www.gilsonleiloes.com.br/externo/lote/detalhes/2511882,"Direitos aquisitivos sobre Casa c/ 108m², terreno c/ 275m², lote 51, quadra G, Lot. Triângulo, R. Maria Oscarina Rezende de Oliveira (antiga rua Dois), nº 294, Cad. Municipal SE-23-01-03-032-00, CRI 24.113. (Alienado) (PARCELAMENTO DA ARREMATAÇÃO EM ATÉ 30X, SENDO QUE 25% DO VALOR DA ARREMATAÇÃO DEVE SER PAGO À VISTA) (Proc. 0007654-08.2016.8.26.0445) (R$ 148.513,02) PINDAMONHANGABA/SP"
